1:c(3, 7, 1, 13, 9)
2:c(9, 10, 2, 11, 6)
3:c(3, 7, 9, 2, 10)
5:c(13, 9, 12, 3, 7)
6:c(3, 7, 5, 4, 8)
8:c(3, 7, 2, 8, 5)
9:c(13, 9, 12, 3, 7)
10:c(12, 11, 13, 9, 2)
11:c(3, 9, 2, 8, 7)
12:c(12, 11, 13, 9, 2)
13:c(7, 3, 6, 2, 9)
15:c(13, 12, 4, 3, 9)
16:c(3, 7, 8, 2, 4)
17:c(3, 2, 7, 9, 10)
18:c(3, 2, 7, 8, 10)
19:c(2, 9, 11, 10, 6)
20:c(3, 7, 4, 1, 13)
21:c(9, 6, 11, 3, 2)
22:c(6, 11, 7, 3, 2)
23:c(9, 2, 4, 3, 12)
24:c(5, 1, 9, 7, 3)
25:c(11, 2, 10, 6, 9)
26:c(3, 8, 2, 7, 9)
27:c(6, 3, 13, 12, 9)
28:c(9, 3, 7, 2, 10)
29:c(3, 7, 9, 2, 10)
30:c(9, 7, 6, 3, 13)
31:c(11, 6, 2, 9, 10)
32:c(1, 5, 3, 7, 10)
33:c(2, 13, 9, 3, 7)
34:c(3, 7, 9, 8, 2)
35:c(3, 7, 4, 6, 5)
36:c(3, 9, 2, 7, 6)
38:c(5, 1, 10, 3, 7)
41:c(3, 7, 5, 6, 4)
42:c(2, 3, 9, 10, 7)
43:c(11, 2, 10, 6, 9)
